medicine_name,public_price_lbp,public_price_usd,agent_name,is_subsidized,subsidy_category,registration_no,strength,presentation
"AETHOXYSKLEROL",1732213,19.35,"Medway Healthcare SARL Single Partner",1,"Stratum B","316/1","1%","5Ampoules x 2ml"
"AFINITOR",149125651,1,666.21,"Khalil Fattal & Fils S.A.L.",1,"Stratum E2","218674/10","5mg","30"
"AFINITOR",214674575,2,398.60,"Khalil Fattal & Fils S.A.L.",1,"Stratum E2","96704/12","10mg","30"
"AGGRASTAT",18280324,204.25,"Droguerie de l'Union",0,"Stratum D","219721/09","0.25mg/ml","1x50ml"
"AGGRIX 75",1204083,13.45,"Macromed S.A.R.L.",1,"Stratum A2","219456/09","","28"
"AIMOVIG",35423371,395.79,"Khalil Fattal & Fils S.A.L.",0,"Stratum D","193718/1","70mg/ml","pre-filled pen"
"AIRFAST",802274,8.96,"Mersaco",1,"Stratum A2","96553/12","10mg","30"
"AIRFAST PEDIATRICS",880217,9.83,"Mersaco",1,"Stratum A2","72221/1","4mg","28"
"AIRTAL 100MG 20",471689,5.27,"Droguerie Phenicia",1,"Stratum A1","27943/95","100mg","20"
"AIRTAL DIFUCREM 1.5%",536193,5.99,"Droguerie Phenicia",1,"Stratum A1","974097/02","1.5%","60g"
"AKEEGA",519366124,5,802.97,"Abela Frères S.A.L.",1,"Stratum E2","6224/1","100mg/500mg","56"
"AKEEGA",519366124,5,802.97,"Abela Frères S.A.L.",1,"Stratum E2","6324/1","50mg/500mg","56"
"AKLIEF",4359425,48.71,"Raymond Georges Abou Adal & Co",1,"Stratum B","134121/1","50mcg/g","75g"
"AKYNZEO",7364372,82.28,"Mersaco",1,"Stratum C","26816/1","300mg/0.5mg","1"
"ALBENDA",116914,1.31,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","973998/02","200mg","2"
"ALBENDA",129009,1.44,"Pharmanet Drugstore S.A.R.L.",1,"Stratum A1","973999/02","400mg","20ml"
"ALBENDACURE",127985,1.43,"Tamipharm",1,"Stratum A1","98625/1","200mg","2"
"ALBENDAZOLE-UBSA",127985,1.43,"L. Pharm SAL",1,"Stratum A1","131824/1","200mg","2"
"ALBEZORA",116466,1.30,"MH Pharma SARL",1,"Stratum A1","20726/1","200mg","2"
"ALBUKEY",4863366,54.34,"Mediterranean Pharmaceutical Company",1,"Stratum B","63524/1","20%","50ml"
"ALBUREL HUMAN ALBUMIN BP",3836670,42.87,"Levant Pulse SARL",1,"Stratum B","119124/1","20%","Box of 50ml"
"ALBUREL HUMAN ALBUMIN BP",6353687,70.99,"Levant Pulse SARL",1,"Stratum B","119024/1","20%","Box of 100ml"
"ALBUTEIN",7154928,79.94,"Alfamed S.A.L.",1,"Stratum C","148247/03","20%","100ml"
"ALBUTEIN",4031528,45.05,"Alfamed S.A.L.",1,"Stratum B","148245/03","20%","50ml"
"ALDACTONE",237860,2.66,"Droguerie Fattal  S.A.L.",1,"Stratum A1","110115/1","25mg","20"
"ALDACTONE",458250,5.12,"Droguerie Fattal  S.A.L.",1,"Stratum A1","197819/1","100mg","10"
"ALDARA",6301277,70.41,"Omnipharma",1,"Stratum B","86124/1","5%","12 Sachets"
"ALDEX",190764,2.13,"Alfa Laboratoires S.A.L.",0,"","160618/1","5g/100ml","50ml Viaflex bag"
"ALDEX",190764,2.13,"Alfa Laboratoires S.A.L.",0,"","160718/1","5g/100ml","100ml Viaflex bag"
"ALDEX",187316,2.09,"Alfa Laboratoires S.A.L.",0,"","193318/1","5g/100ml","250ml Viaflex bag"
"ALDEX",201107,2.25,"Alfa Laboratoires S.A.L.",0,"","177618/1","5g/100ml","500ml Viaflex bag"
"ALDEX",226388,2.53,"Alfa Laboratoires S.A.L.",0,"","177718/1","5g/100ml","1000ml Viaflex bag"
"ALDOMET",644400,7.20,"Droguerie de l'Union",1,"Stratum A1","11283","250mg","30"
"ALDOMET",856708,9.57,"Droguerie de l'Union",1,"Stratum A2","20919","500mg","30"
"ALDURAZYME",57138680,638.42,"Mersaco",1,"Stratum E1","52422/1","100U/ml","1Vial x 5ml"
"ALECENSA",490837809,5,484.22,"Omnipharma",1,"Stratum E2","178617/1","150mg","224"
"ALERGICAL EXPECTORANT",485127,5.42,"Taba Chemipharm",1,"Stratum A1","97043/12","","150ml"
"ALERJON",528130,5.90,"Abela Frères S.A.L.",1,"Stratum A1","67419/1","","10ml"
"ALEXAN",1209458,13.51,"Khalil Fattal & Fils S.A.L.",1,"Stratum A2","195035/04","100mg/5ml","1"
"ALEXAN",2848946,31.83,"Khalil Fattal & Fils S.A.L.",1,"Stratum B","221412/08","1000mg/20ml","1"
"ALFA-AMYLASE BGR CONSEIL",290270,3.24,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","129324/1","3,000U.CEIP","18"
"ALFA-AMYLASE BGR CONSEIL",384339,4.29,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","129424/1","200U.CEIP/ml","Flacon de 200ml"
"ALFOCIN",858779,9.60,"Benta Trading Co s.a.l.",1,"Stratum A2","185804/13","10mg","30"
"ALFUZOSINE ARROW LP",743145,8.30,"Darapharma S.A.L.",1,"Stratum A2","128024/1","10mg","30"
"ALFUZOSINE BIOGARAN LP",1115389,12.46,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A2","103122/1","10mg","30"
"ALGESAL SURACTIVE",1006538,11.25,"L. Pharm SAL",1,"Stratum A2","122218/1","","40g"
"ALGIFAST 400",473033,5.29,"Pharmacie Al Sahel",1,"Stratum A1","159015/1","400mg","12sachets"
"ALGIFAST PEDIATRIC",393746,4.40,"Pharmacie Al Sahel",1,"Stratum A1","153620/1","20mg/ml","100ml"
"ALGIKEY",873498,9.76,"Mediterranean Pharmaceutical Company",1,"Stratum A2","208370/02","30mg","6Amp"
"ALGIVIC",215015,2.40,"Pharmamedic S.A.R.L.",1,"Stratum A1","72822/1","250mg","12"
"ALGIVIC",147183,1.64,"Pharmamedic S.A.R.L.",1,"Stratum A1","72622/1","500mg","12"
"ALGIVIC INFANT",199657,2.23,"Pharmamedic S.A.R.L.",1,"Stratum A1","72722/1","125mg","12"
"ALGOCOD",299677,3.35,"Pharmamedic S.A.R.L.",1,"Stratum A1","218789/09","","32 (16x2)"
"ALGODOL",317403,3.55,"Pharmamedic S.A.R.L.",1,"Stratum A1","219452/09","","20"
"ALGOMIEL COUGH SYRUP",639925,7.15,"Droguerie de l'Union",1,"Stratum A1","16621/1","","100ml"
"ALIMTA",16854009,188.31,"Droguerie de l'Union",0,"Stratum D","190019/1","100mg","1vial"
"ALIMTA",78132798,872.99,"Droguerie de l'Union",1,"Stratum E1","189919/1","500mg","1vial"
"ALLERGODIL",709549,7.93,"Omnipharma",1,"Stratum A1","120214/1","","6ml"
"ALLERGODIL NASAL",657139,7.34,"Omnipharma",1,"Stratum A1","166948/11","","10ml"
"ALLOPURINOL BIOGARAN",107507,1.20,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","115722/1","100mg","28"
"ALLOPURINOL BIOGARAN",169324,1.89,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","115622/1","200mg","28"
"ALLOPURINOL BIOGARAN",212327,2.37,"Commercial and Trading Ressources SAL (CTR)",1,"Stratum A1","115522/1","300mg","28"
"ALMIRAL",396434,4.43,"New Allpharma",1,"Stratum A1","166818/11","1% w/w","50g"
"ALMIRAL",415247,4.64,"New Allpharma",1,"Stratum A1","127715/1","75mg/3ml","10ampoules"
"ALMOVITAE",1148985,12.84,"Promopharm S.A.R.L.",1,"Stratum A2","21920/1","12.5mg","6"
"ALOPEXY",896343,10.02,"Mersaco",1,"Stratum A2","112823/1","5%","60ml"
"ALOXI",3656595,40.86,"Mersaco",1,"Stratum B","55315/1","0.25mg/5ml","1Vial"
"ALPEEN",8728144,97.52,"Raymond Georges Abou Adal & Co",1,"Stratum C","70215/1","4000IU","10 vials"
"ALPEEN",1127036,12.59,"Raymond Georges Abou Adal & Co",1,"Stratum B","61819/1","4000IU","1 vials"
"ALPEEN",4748244,53.05,"Raymond Georges Abou Adal & Co",1,"Stratum B","4922/1","4000IU","5 vials"
"ALPEEN",4036903,45.11,"Raymond Georges Abou Adal & Co",1,"Stratum B","108621/1","10,000IU","1vial"
"ALPEEN",11210836,125.26,"Raymond Georges Abou Adal & Co",0,"Stratum D","91122/1","40,000IU","1Vial"
"ALPEEN",10661285,119.12,"Raymond Georges Abou Adal & Co",0,"Stratum D","129323/1","10,000IU","3Vials"
"ALPHAGAN P",999819,11.17,"Mersaco",1,"Stratum A2","24140/06","0.15%","5ml"
"ALPHAGAN P",999819,11.17,"Mersaco",1,"Stratum A2","85723/1","0.15%","5ml"
