Code,Registration number,Brand name,Strength,Presentation,Form,Agent,Manufacturer,Country,Public Price LL,Pharmacist Margin,Stratum,public price Decision 119/1 20230126,Responsible Party Name,Responsible Party Country,Exch_Dates
9362,128817/1,ACAMPROSATE BIOGARAN,333mg,180,Comprimes pellicules gastroresistants,Commercial and Trading Ressources SAL (CTR),Laboratoires BTT,France,"3,641,813",23.08,B,40.69,Laboratoires Biogaran,France,8/11/2026
11187,71121/1,ACARIZAX 12 SQ-HDM ORAL LYOPHILISATE,,30 (3x10),Oral lyophilisate,Droguerie de l'Union,Catalent UK Swindon Zydis Ltd,UK,"9,366,451",21.26,C,104.65,ALK-Abello A/S,Denmark,8/11/2026
5143,23624/06,ACC LONG,,10,"Tablet, effervescent",Khalil Fattal & Fils S.A.L.,Salutas Pharma  GmbH for Hexal AG,Germany,"286,238",23.08,A1,3.20,,,8/11/2026
10970,102221/1,ACEBUTOLOL BIOGARAN,400mg,30,Comprimés pelliculés,Commercial and Trading Ressources SAL (CTR),Anpharm Przedsiebiorstwo Farmaceutyczne SA,Poland,"615,480",23.08,A1,6.88,Laboratoires Biogaran,France,8/11/2026
10971,102121/1,ACEBUTOLOL BIOGARAN,200mg,30,Comprimés pelliculés,Commercial and Trading Ressources SAL (CTR),Anpharm Przedsiebiorstwo Farmaceutyczne SA,Poland,"464,970",23.08,A1,5.20,Laboratoires Biogaran,France,8/11/2026
5065,24684/07,ACECLOFAR,100mg,10,Tablet,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"131,697",23.08,A1,1.47,,,8/11/2026
11508,53923/1,ACETAZOLAMIDE,250mg,100,Tablet,Promopharm S.A.R.L.,Apotex Inc,Canada,"1,001,163",23.08,A2,11.19,AA Pharma Inc.,Canada,8/11/2026
8141,31215/1,ACFOL,5mg,50,Tablet,Pharmapro,Mediphar Laboratories,Lebanon,"355,798",23.08,A1,3.98,,,8/11/2026
11867,77024/1,ACHONID GEL,2.5% (25mg/g),Tube of 60g,Gel,Benta Trading Co s.a.l.,"Manufactured by Benta Lyon, France for Benta SAL",Lebanon,"179,179",23.08,A1,2.00,,,8/11/2026
9768,98218/1,ACIDE ALENDRONIQUE/ VITAMINE D3 BGR,70mg/5600UI,4,Comprimé,Commercial and Trading Ressources SAL (CTR),Pharmathen International SA,Greece,"784,804",23.08,A2,8.77,Laboratoires Biogaran,France,8/11/2026
11819,78424/1,ACIDE FUSIDIQUE BGR,2%,Tube de 15g,Cream,Commercial and Trading Ressources SAL (CTR),Misom Labs Ltd,Malta,"202,920",23.08,A1,2.27,Laboratoires Biogaran,France,8/11/2026
11499,4723/1,ACLASTA,5mg/100ml,1vial,solution for infusion,Khalil Fattal & Fils S.A.L.,Fresenius Kabi Austria GmbH,Austria,"21,075,062",19.35,D,235.48,Sandoz Pharmaceuticals AG,Switzerland,8/11/2026
8593,1416/1,A-CNOTREN,20mg,30,"Capsule, soft ",Bellapharma S.A.R.L.,"Pharmadex under license from Pharmathen SA, Greece",Lebanon,"1,526,524",23.08,B,17.06,,,8/11/2026
5900,218156/09,ACTEMRA,80mg/4ml,1Vial,Concentrate for solution for infusion ,Omnipharma,Chugai Pharma Manufacturing Co Ltd ,Japan,"11,127,864",21.26,C,124.33,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
5901,218157/09,ACTEMRA,200mg/10ml,1 Vial,Concentrate for solution for infusion ,Omnipharma,Chugai Pharma Manufacturing Co Ltd ,Japan,"25,485,937",19.35,D,284.76,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
5902,218158/09,ACTEMRA,400mg/20ml,1Vial,Concentrate for solution for infusion ,Omnipharma,Chugai Pharma Manufacturing Co Ltd ,Japan,"47,925,322",10.71,E1,535.48,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
8202,42115/1,ACTEMRA,162mg/0.9ml,4Prefilled syringes,Injectable solution for SC use,Omnipharma,Vetter Pharma- Fertigung GmbH & Co KG,Germany,"79,959,812",10.71,E1,893.41,F. Hoffmann La Roche Ltd,Switzerland,8/11/2026
2481,78773,ACTICARBINE,,42,Comprimé,Pharmamedic S.A.R.L.,Elerte,France,"306,396",23.08,A1,3.42,,,8/11/2026
2224,38681/96,ACTILYSE,50mg,2,Vial,Mersaco,Boehringer Ingelheim Pharma GmbH & Co KG,Germany,"100,976,553",2.44,E2,"1,128.23",Boehringer Ingelheim International GmbH ,Germany,8/11/2026
12322,109125/1,ACTISKENAN,30mg,14,Géules à libération immédiate,Minapharm Halabi,Ethypharm,France,"763,303",23.08,A2,8.53,Ethypharm,France,8/11/2026
12323,109025/1,ACTISKENAN,20mg,14,Géules à libération immédiate,Minapharm Halabi,Ethypharm,France,"512,004",23.08,A1,5.72,Ethypharm,France,8/11/2026
12324,108925/1,ACTISKENAN,10mg,14,Géules à libération immédiate,Minapharm Halabi,Ethypharm,France,"310,428",23.08,A1,3.47,Ethypharm,France,8/11/2026
12325,108825/1,ACTISKENAN,5mg,14,Géules à libération immédiate,Minapharm Halabi,Ethypharm,France,"233,829",23.08,A1,2.61,Ethypharm,France,8/11/2026
5781,219553/09,ACTISOUFRE,,100ml,Solution pour pulverisation nasale et buccale en flacon pressurise,Pharmamedic S.A.R.L.,Grimberg,France,"729,706",23.08,A2,8.15,Grimberg,France,8/11/2026
4405,78770/98,ACTI-VIR,200mg,25,"Tablet, scored",Pharmapro,Mediphar Laboratories,Lebanon,"1,039,238",23.08,A2,11.61,,,8/11/2026
8870,52515/1,ACTI-VIR H,,5g,Cream,Pharmapro,Mediphar Laboratories,Lebanon,"833,182",23.08,A2,9.31,,,8/11/2026
9595,61618/1,ACTONORM,220mg/200mg/25mg in 5ml,200ml,Oral suspension,Taba Chemipharm,Laleham Health and Beauty Limited,UK,"403,153",23.08,A1,4.50,Wallace Manufacturing Chemists Ltd,UK,8/11/2026
1340,973726/02,ACTOS,30mg,30,Tablet,Abela Frères S.A.L.,The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan ,Jordan,"2,484,765",23.08,B,27.76,,,8/11/2026
5959,23608/06,ACTOS,15mg,30,Tablet,Abela Frères S.A.L.,The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan ,Jordan,"1,243,054",23.08,A2,13.89,,,8/11/2026
